zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
08:10:48,3,37,114.05,8683.4,dqn-20260725-080047,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 1, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
08:20:49,3,37,134.2,7898.3,dqn-20260725-081048,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 3, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
08:30:51,3,37,145.5,9484.9,dqn-20260725-082050,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""pfad_fokus_bonus"": 0.02}"
08:40:53,3,37,143.5,9614.9,dqn-20260725-083052,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""pfad_fokus_bonus"": 0.1}"
08:50:55,3,37,75.35,10244.9,dqn-20260725-084054,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 1, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
09:00:58,3,37,89.95,10398.5,dqn-20260725-085057,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 3, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
09:11:01,3,37,113.75,9953.7,dqn-20260725-090059,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 5, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
09:21:03,3,37,141.1,9490.2,dqn-20260725-091102,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""eps_end"": 0.05}"
09:31:05,3,37,111.45,8394.2,dqn-20260725-092104,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": true, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
09:41:07,3,37,136.5,5991.9,dqn-20260725-093106,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""num_games"": 8}"
09:51:10,3,37,136.9,10253.2,dqn-20260725-094108,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""num_games"": 24}"
10:01:11,3,37,136.05,9963.4,dqn-20260725-095110,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 0.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
10:11:14,3,37,136.35,10065.2,dqn-20260725-100112,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 0.25, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
